Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - box-to-box,https://www.crunchbase.com/funding_round/streetkickers-pre-seed--41df7d9f,box-to-box,https://www.crunchbase.com/organization/streetkickers,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-04-01,Seed,,,,Yes,"box-to-box is a football training app for young amateur football players, featuring personalized training plans with video tutorials.","Information Technology, Sports, Training",,https://boxtobox.app/,Less than $1M,,,,Seed,3,APX,APX,1,,"327,571"
Pre Seed Round - Mika,https://www.crunchbase.com/funding_round/mika-9650-pre-seed--14e3127f,Mika,https://www.crunchbase.com/organization/mika-9650,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-03-28,Seed,,,,Yes,Mika is a digital platform empowering people affected by cancer.,"Health Care, mHealth, Therapeutics",,https://www.mikahealth.com/,$1M to $10M,10000000,EUR,10563321,Early Stage Venture,7,,Mücke Roth & Company,1,1,"328,594"
Seed Round - Merantix Capital,https://www.crunchbase.com/funding_round/merantix-seed--62da206d,Merantix Capital,https://www.crunchbase.com/organization/merantix,Seed,"Berlin, Berlin, Germany, Europe",10000000,USD,10000000,2018-07-31,Seed,,,,Yes,Building and investing in AI since 2016,"Artificial Intelligence (AI), Big Data, Impact Investing, Machine Learning, Predictive Analytics, Software, Venture Capital",,http://merantix-capital.com,$10M to $50M,37548634,USD,37548634,Seed,3,Linden Capital,"Gentian Investments, June Fund, Linden Capital",3,1,"345,699"
Grant - brighter AI,https://www.crunchbase.com/funding_round/brighter-ai-technologies-grant--1c75c8a2,brighter AI,https://www.crunchbase.com/organization/brighter-ai-technologies,Grant,"Berlin, Berlin, Germany, Europe",500000,EUR,611870,2018-04-24,,,,,No,Protect every identity in public.,"Artificial Intelligence (AI), Cyber Security, Information Technology, Machine Learning, Privacy",,https://www.brighter.ai/?crunchbase=yes,,650000,EUR,780063,,6,,IBB Ventures,1,,"331,178"
Pre Seed Round - Frameright,https://www.crunchbase.com/funding_round/frameright-pre-seed--2aba60be,Frameright,https://www.crunchbase.com/organization/frameright,Pre-Seed,"Berlin, Berlin, Germany, Europe",25000,EUR,29199,2018-07-01,Seed,500000,EUR,583976,Yes,"Power to the Pictures. Image Display Control for creators, developers and businesses.","Developer Tools, Digital Media, E-Commerce Platforms, Enterprise Software, Image Recognition, Information Services, Information Technology, Photography, SaaS, Software",,https://frameright.io,Less than $1M,640000,EUR,762272,Seed,6,Next Media Accelerator,Next Media Accelerator,1,,"331,252"
Seed Round - vetevo,https://www.crunchbase.com/funding_round/vetevo-seed--1fb3b9a1,vetevo,https://www.crunchbase.com/organization/vetevo,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-03-01,Seed,,,,Yes,vetevo is the go-to-solution for everyday pet health. It builds integrated healthcare journeys along the lifecycle of next gen. pet parents.,"B2C, Consumer, E-Commerce, Health Care, Internet, Medical, Mobile, Personal Health, Veterinary, Wellness",,https://vetevo.com/,$1B to $10B,4000000,EUR,4449002,Seed,3,,True Growth Capital,1,,"489,483"
Pre Seed Round - digitty.io,https://www.crunchbase.com/funding_round/digitty-io-pre-seed--05935ae8,digitty.io,https://www.crunchbase.com/organization/digitty-io,Pre-Seed,"Berlin, Berlin, Germany, Europe",100000,EUR,115771,2018-10-01,Seed,3000000,EUR,3473131,Yes,Digitty is a SaaS for Software Project Management and IaaS to build two sided market places.,"Information Technology, SaaS, Software",,https://digitty.io,$1M to $10M,4350000,EUR,4980814,Seed,4,,,,,"332,234"
Series A - Tillhub,https://www.crunchbase.com/funding_round/tillhub-series-a--1a76a651,Tillhub,https://www.crunchbase.com/organization/tillhub,Series A,"Berlin, Berlin, Germany, Europe",4000000,EUR,4868241,2018-04-25,Early Stage Venture,,,,Yes,Tillhub provides POS system for retailers and service providers.,"Cloud Computing, Cloud Data Services, Internet, Point of Sale, Software",,https://www.tillhub.de,$1M to $10M,7000000,EUR,8219541,M&A,5,,"Bank of America, Dietrich Gottwald, Elavon, Felix Jahn, Müller Medien, Neosfer",6,,"334,763"
Venture Round - Allmyhomes,https://www.crunchbase.com/funding_round/allmyhomes-series-unknown--3d0f58d3,Allmyhomes,https://www.crunchbase.com/organization/allmyhomes,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2018-09-26,,,,,Yes,Allmyhomes is development marketing made simple.,"Advertising, Information Technology",,https://www.allmyhomes.com,$10M to $50M,,,,,1,,Round Hill Ventures,1,,"334,926"
Venture Round - IPlytics,https://www.crunchbase.com/funding_round/iplytics-series-unknown--f13071b4,IPlytics,https://www.crunchbase.com/organization/iplytics,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2018-02-01,,,,,Yes,IPlytics develops the intellectual property (IP) intelligence solution IPlytics Platform,"Analytics, Artificial Intelligence (AI), Big Data, Information Technology, Intellectual Property, Machine Learning, SaaS, Software, Text Analytics",,http://www.iplytics.com,$1M to $10M,,,,M&A,8,Data Pitch,Data Pitch,1,,"337,044"
Seed Round - Seatris.ai,https://www.crunchbase.com/funding_round/seatris-gmbh-seed--3a1fc8f2,Seatris.ai,https://www.crunchbase.com/organization/seatris-gmbh,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-01-01,Seed,,,,Yes,Seatris.ai is a reservation and revenue management assistant that supports restaurant teams to sell every seat they have available.,"Artificial Intelligence (AI), Data Integration, Food and Beverage, Hospitality, Hotel, Machine Learning, Reservations, SaaS, Software, Ticketing",,https://seatris.com,Less than $1M,,,,M&A,1,,,,,"355,278"
Seed Round - Selfapy,https://www.crunchbase.com/funding_round/selfapy-seed--db8d3e37,Selfapy,https://www.crunchbase.com/organization/selfapy,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-07-06,Seed,,,,Yes,Selfapy's online program offer those affected by mental illnesses quick and clinically proven online therapy.,"Fitness, Health Care, Medical Device, Mental Health",,https://www.selfapy.com,,13000000,EUR,14128501,,8,Think.Health,"Stefan Rothlehner, Think.Health",2,,"356,003"
Pre Seed Round - Shelf.Network,https://www.crunchbase.com/funding_round/shelf-network-pre-seed--b8445ab0,Shelf.Network,https://www.crunchbase.com/organization/shelf-network,Pre-Seed,"Berlin, Berlin, Germany, Europe",124625,USD,124625,2018-01-22,Seed,,,,Yes,"Arbitrage network for cross-border vehicle trades, providing best matching by synchronizing trades across online marketplaces and brokers.","Automotive, E-Commerce, Electric Vehicle, FinTech, Online Auctions, Trading Platform",,https://www.shelf.network,$1M to $10M,1224625,USD,1224625,Seed,2,Techstars,Techstars,1,,"337,966"
Seed Round - Vara,https://www.crunchbase.com/funding_round/vara-seed--709c85b7,Vara,https://www.crunchbase.com/organization/vara,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-11-01,Seed,,,,Yes,Vara develops a breast cancer screening platform powered by AI.,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning",,https://www.vara.ai/,$1B to $10B,22000000,EUR,24021097,,6,Merantix Capital,Merantix Capital,1,,"338,865"
Grant - Yolife,https://www.crunchbase.com/funding_round/yolife-grant--761b8c63,Yolife,https://www.crunchbase.com/organization/yolife,Grant,"Berlin, Berlin, Germany, Europe",76000,EUR,88680,2018-06-01,,,,,No,Yolife is a mobile app that empowers people to live longer in good health,"Health Care, mHealth, Mobile Apps",,https://yolife.io/,Less than $1M,326000,EUR,375996,M&A,4,,European Social Fund (ESF),1,,"338,881"
Angel Round - Clevver,https://www.crunchbase.com/funding_round/clevver-angel--84d43082,Clevver,https://www.crunchbase.com/organization/clevver,Angel,"Berlin, Berlin, Germany, Europe",1000000,EUR,1199120,2018-05-01,Seed,,,,Yes,Clevver offers international virtual office services that allow businesses and individuals to easily establish a local legal presence.,"B2B, Cloud Data Services, Information Technology, Messaging, Tourism, Travel",,https://www.clevver.io,$1M to $10M,2500000,EUR,3077835,Seed,3,,"Andreas Perreiter, Catalpa Ventures Family Office, CIMEDO, Dr. Cornelius Boersch, HOWZAT Partners, Volker Rofalski",6,,"338,948"
Seed Round - ObjectBox,https://www.crunchbase.com/funding_round/objectbox-seed--08ca77b9,ObjectBox,https://www.crunchbase.com/organization/objectbox,Seed,"Berlin, Berlin, Germany, Europe",2000000,USD,2000000,2018-12-03,Seed,,,,Yes,ObjectBox is a high-performance on-device Database and out-of-the-box Data Sync solution empowering developers with access to edge data,"Database, Developer APIs, Developer Tools, Embedded Software, Enterprise Software, Information Technology, IT Infrastructure, Mobile, Retail Technology, Smart Cities",,https://objectbox.io/,Less than $1M,2000000,USD,2000000,Seed,5,Vito Ventures,"Andreas Mihalovits, Cavalry Ventures, Chris Adelsbach, Lucas Cranach, Vito Ventures",5,,"502,826"
Venture Round - Solvemate,https://www.crunchbase.com/funding_round/solvemate-series-unknown--43d7d4d7,Solvemate,https://www.crunchbase.com/organization/solvemate,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2018-11-15,,,,,Yes,Solvemate enables brands to deliver quality customer service through meaningful conversations.,"Artificial Intelligence (AI), Customer Service, Machine Learning, Messaging, SaaS, Software",,https://www.solvemate.com/en/,$1M to $10M,,,,M&A,4,"Picea Capital, Venture Stars","Picea Capital, Venture Stars",2,1,"339,888"
Private Equity Round - Design Offices,https://www.crunchbase.com/funding_round/design-offices-private-equity--f5ff4dd7,Design Offices,https://www.crunchbase.com/organization/design-offices,Private Equity,"Berlin, Berlin, Germany, Europe",60000000,EUR,70710190,2018-05-22,Private Equity,,,,Yes,Design Offices creates private and shared office spaces.,"B2B, Real Estate",,https://www.designoffices.de/,$10M to $50M,60000000,EUR,70710190,Private Equity,1,,EMH Partners,1,,"340,757"
Pre Seed Round - 7Fields,https://www.crunchbase.com/funding_round/7fields-pre-seed--89fd5ac1,7Fields,https://www.crunchbase.com/organization/7fields,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-04-01,Seed,,,,Yes,"Integrated AI-enabled Development & Coaching Platform , SaaS, Mobile App","Artificial Intelligence (AI), E-Learning, EdTech, Human Resources, Information Technology, Machine Learning, SaaS",,https://www.7fields.io,Less than $1M,,,,Seed,1,Push! Founders,Push! Founders,1,,"430,662"
Seed Round - Energy Web Foundation,https://www.crunchbase.com/funding_round/energy-web-foundation-seed--8dff3603,Energy Web Foundation,https://www.crunchbase.com/organization/energy-web-foundation,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-07-15,Seed,,,,Yes,Energy Web Foundation is a non-profit organization focused on accelerating blockchain technology across the energy sector.,"Blockchain, Information Technology",,http://energyweb.org,$1M to $10M,2500000,USD,2500000,Seed,3,,Blackhorn Ventures,1,,"433,070"
Seed Round - realxdata,https://www.crunchbase.com/funding_round/realxdata-seed--aa028126,realxdata,https://www.crunchbase.com/organization/realxdata,Seed,"Berlin, Berlin, Germany, Europe",1500000,EUR,1750271,2018-06-01,Seed,,,,Yes,"realxdata aims to offer data driven, analytic solutions for commercial real estate and make it more approachable for our customers.","Analytics, Artificial Intelligence (AI), Big Data, Commercial Real Estate, Machine Learning",,http://www.realxdata.com,Less than $1M,5750000,EUR,6447695,M&A,3,Rheingau Founders,Rheingau Founders,1,1,"433,201"
Seed Round - Fractal,https://www.crunchbase.com/funding_round/fractal-5def-seed--d92fb707,Fractal,https://www.crunchbase.com/organization/fractal-5def,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-08-31,Seed,,,,Yes,"Fractal is an identity verification platform, ranging from human uniqueness for sybil-resistance to KYC/AML for regulatory compliance","Blockchain, Compliance, Identity Management, Information Technology, SaaS, Security, Software, Web3",,https://web.fractal.id,Less than $1M,,,,Seed,3,Future Energy Ventures,"coparion, Future Energy Ventures",2,,"433,469"
Series D - sofatutor,https://www.crunchbase.com/funding_round/sofatutor-series-d--e6c93592,sofatutor,https://www.crunchbase.com/organization/sofatutor,Series D,"Berlin, Berlin, Germany, Europe",3000000,EUR,3740471,2018-02-14,Late Stage Venture,,,,Yes,Sofatutor is an online platform of educational tutorials for school and college students to study for exams and recapitulate lessons.,"EdTech, Education, Online Portals",,https://us.sofatutor.com,,6500000,EUR,8349203,,5,Frog Capital,"Acton Capital, Berlin.de, Cornelsen Verlag, Frog Capital, JCMB Beteiligungs",5,3,"405,569"
Angel Round - deineStudienfinanzierung,https://www.crunchbase.com/funding_round/compaio-angel--3b0b2360,deineStudienfinanzierung,https://www.crunchbase.com/organization/compaio,Angel,"Berlin, Berlin, Germany, Europe",,,,2018-10-08,Seed,,,,Yes,deineStudienfinanzierung is the digital platform to help students finance their studies.,"Banking, Financial Services, FinTech, Insurance, Web Apps",,https://www.deinestudienfinanzierung.de/de,$1M to $10M,,,,M&A,5,,"André M. Bajorat, Christian Gaiser, Kelly Ford, Kiana Mardi, Lucas Cranach, Oliver Hehl, Oliver Roskopf, Philipp Kloeckner, Roland Grenke",9,,"349,683"
Seed Round - Gesundheit!,https://www.crunchbase.com/funding_round/gesundheit-seed--a696e479,Gesundheit!,https://www.crunchbase.com/organization/gesundheit,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-01-01,Seed,,,,Yes,Improving Health & Fitness For A Billion People,"Fitness, Health Care, Nutrition, Wellness",,https://gesundheit.ai,,,,,Seed,1,,Mesh Ventures,1,,"514,514"
Series B - bookingkit,https://www.crunchbase.com/funding_round/bookingkit-series-b--43ee04e6,bookingkit,https://www.crunchbase.com/organization/bookingkit,Series B,"Berlin, Berlin, Germany, Europe",,,,2018-02-26,Early Stage Venture,,,,Yes,"bookingkit offers booking software for tours, activities, and attractions.","Marketing, Reservations, Software, Tourism, Travel",,https://bookingkit.net,$1M to $10M,5000000,EUR,5883447,,6,Robert André Kabs,"Müller Medien, Robert André Kabs",2,,"437,628"
Series B - Urban Sports Club,https://www.crunchbase.com/funding_round/urban-sports-series-b--6b9cce3e,Urban Sports Club,https://www.crunchbase.com/organization/urban-sports,Series B,"Berlin, Berlin, Germany, Europe",,,,2018-10-24,Early Stage Venture,,,,Yes,Urban Sports offers a monthly flat rate for all kinds of sports activities in the city.,"Fitness, Lifestyle, Sports, Wellness",,https://urbansportsclub.com/,$1M to $10M,175000000,EUR,199639992,,6,Partech,"b2venture, Kai Hansen, Partech",3,1,"438,990"
Pre Seed Round - Basaas - Enterprise Productivity Hub,https://www.crunchbase.com/funding_round/basaas-pre-seed--20c5ed03,Basaas - Enterprise Productivity Hub,https://www.crunchbase.com/organization/basaas,Pre-Seed,"Berlin, Berlin, Germany, Europe",150000,EUR,175371,2018-09-13,Seed,,,,Yes,Connect all apps into one solution and boost team productivity,"Data Integration, Enterprise Software, Productivity Tools, SaaS, Software, Task Management",,https://www.basaas.com,$1M to $10M,600000,EUR,709615,Seed,2,,,,,"537,572"
Series B - HeavenHR,https://www.crunchbase.com/funding_round/heavenhr-series-b--85b8e3e3,HeavenHR,https://www.crunchbase.com/organization/heavenhr,Series B,"Berlin, Berlin, Germany, Europe",10000000,EUR,11356036,2018-12-10,Early Stage Venture,,,,Yes,Heaven is a HR management platform for small and medium enterprises.,"Human Resources, Office Administration, SaaS, Software",,https://www.heavenhr.com/,$1M to $10M,16000000,EUR,18065569,Early Stage Venture,4,,"Allianz X, Piton Capital, Target Global",3,1,"439,101"
Debt Financing - Contentful,https://www.crunchbase.com/funding_round/contentful-debt-financing--7dac2652,Contentful,https://www.crunchbase.com/organization/contentful,Debt Financing,"Berlin, Berlin, Germany, Europe",15000000,USD,15000000,2018-01-01,,,,,No,Contentful offers a headless content management system that helps organizations deliver content across channels.,"Cloud Computing, CMS, Content, Developer Tools, Publishing, SaaS, Software",,https://www.contentful.com,$50M to $100M,349600000,USD,349600000,Late Stage Venture,9,,Armentum Partners,1,,"446,418"
Convertible Note - Foreverly,https://www.crunchbase.com/funding_round/foreverly-gmbh-convertible-note--49f3185c,Foreverly,https://www.crunchbase.com/organization/foreverly-gmbh,Convertible Note,"Berlin, Berlin, Germany, Europe",,,,2018-04-25,,,,,No,Foreverly is a marketplace to connect bridal couples and wedding vendors in the simplest and most effective way.,"Event Management, Events, Marketplace",,http://www.foreverly.de,Less than $1M,,,,M&A,2,,GoBeyond,1,,"620,637"
Seed Round - Qunomedical,https://www.crunchbase.com/funding_round/junomedical-seed--d417b10f,Qunomedical,https://www.crunchbase.com/organization/junomedical,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-12-01,Seed,,,,Yes,Qunomedical is a healthcare company that connects patients with doctors in abroad.,"Health Care, Health Diagnostics, Medical",,https://www.qunomedical.com,$10M to $50M,12310979,USD,12310979,Early Stage Venture,6,,VU Venture Partners,1,,"621,303"
Pre Seed Round - MYMY catering,https://www.crunchbase.com/funding_round/mein-wunschcatering-de-pre-seed--866e3b81,MYMY catering,https://www.crunchbase.com/organization/mein-wunschcatering-de,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-10-31,Seed,,,,Yes,"MYMY catering, formerly MeinWunschcatering, offers catering all over Germany, Austria and the Netherlands with digitally native experience.","Catering, Food and Beverage, Food Delivery",,https://www.mymycatering.com,,,,,Seed,3,b10 | Venture Capital,"10x Value Partners, b10 | Venture Capital",2,,"622,167"
Debt Financing - Myos,https://www.crunchbase.com/funding_round/myosfinance-debt-financing--9caef064,Myos,https://www.crunchbase.com/organization/myosfinance,Debt Financing,"Berlin, Berlin, Germany, Europe",4500000,EUR,5266238,2018-06-30,,,,,No,"Rethinking working capital | Myos helps merchants of all kind grow to scale, fully digital, flexible and without personal guarantees","B2B, Big Data, E-Commerce, FinTech, Lending, Machine Learning, Marketplace",,https://myos.com,Less than $1M,38085000,EUR,44378051,Early Stage Venture,9,,,,,"623,432"
Seed Round - Pitch,https://www.crunchbase.com/funding_round/pitch-5b94-seed--b57d1e06,Pitch,https://www.crunchbase.com/organization/pitch-5b94,Seed,"Berlin, Berlin, Germany, Europe",3000000,EUR,3700711,2018-02-20,Seed,,,,Yes,Pitch is collaborative presentation software for modern teams.,"Collaboration, Internet, Presentation Software, SaaS, Software",,https://pitch.com,$1M to $10M,137700711,USD,137700711,Early Stage Venture,4,BlueYard Capital,BlueYard Capital,1,1,"623,544"
Seed Round - CoachHub,https://www.crunchbase.com/funding_round/coachhub-seed--b5b9a62b,CoachHub,https://www.crunchbase.com/organization/coachhub,Seed,"Berlin, Berlin, Germany, Europe",2000000,USD,2000000,2018-11-12,Seed,,,,Yes,CoachHub is a digital coaching platform that enables organizations to provide personalized coaching programs for their employees.,"Corporate Training, Human Resources, Personal Development, SaaS, Training",,https://coachhub.com,$100M to $500M,375565230,USD,375565230,Late Stage Venture,6,Speedinvest,"Angel Invest, Carcharodon Capital, JVH Ventures, Speedinvest",4,2,"419,931"
Seed Round - GETAWAY,https://www.crunchbase.com/funding_round/getaway-4-seed--bc93751d,GETAWAY,https://www.crunchbase.com/organization/getaway-4,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-04-15,Seed,,,,Yes,GETAWAY is an Enterprise Grade turnkey shared mobility solution provider,"Car Sharing, Mobile Apps, Rental, Sharing Economy",,https://getaway.pro,Less than $1M,,,,Seed,1,,,,,"419,965"
Series C - OMEICOS Therapeutics,https://www.crunchbase.com/funding_round/omeicos-therapeutics-gmbh-series-c--52d260cf,OMEICOS Therapeutics,https://www.crunchbase.com/organization/omeicos-therapeutics-gmbh,Series C,"Berlin, Berlin, Germany, Europe",17000000,EUR,19357777,2018-11-02,Late Stage Venture,,,,Yes,OMEICOS Therapeutics is developing a novell molecule utilizing a new Mode of Action for the treatment and prevention of atrial fibrillation.,"Health Care, Medical, Therapeutics",,http://www.omeicos.com/,,37310346,USD,37310346,Late Stage Venture,6,"Forbion Capital Partners, SICAR, Vesalius Biocapital Partners","Forbion Capital Partners, HTGF | High-Tech Gruenderfonds, KfW, KG Investments, Remiges Ventures, SICAR, SMS Group, The Falck Revocable Trust, VC Fonds Technologie Berlin, Vesalius Biocapital Partners",10,3,"456,199"
Angel Round - wysker,https://www.crunchbase.com/funding_round/wysker-angel--61130534,wysker,https://www.crunchbase.com/organization/wysker,Angel,"Berlin, Berlin, Germany, Europe",20000,EUR,22843,2018-08-10,Seed,,,,Yes,Wysker is an online shopping application created to provide a shopping experience.,"Apps, E-Commerce, Internet, Shopping",,http://www.wysker.com,Less than $1M,1540000,EUR,1781225,Seed,3,,,,,"625,587"
Non Equity Assistance - Practix Innovative Workout,https://www.crunchbase.com/funding_round/practix-innovative-workout-non-equity-assistance--a4868fdd,Practix Innovative Workout,https://www.crunchbase.com/organization/practix-innovative-workout,Non-equity Assistance,"Berlin, Berlin, Germany, Europe",,,,2018-03-28,,,,,No,Practix enables gyms to give personalized service to their customers.,"Artificial Intelligence (AI), Fitness, Internet of Things, Machine Learning",,https://practix-workout.com,,,,,,1,,MassChallenge,1,1,"627,129"
Series B - Zipjet,https://www.crunchbase.com/funding_round/zipjet-series-b--2cfc1842,Zipjet,https://www.crunchbase.com/organization/zipjet,Series B,"Berlin, Berlin, Germany, Europe",,,,2018-04-11,Early Stage Venture,,,,Yes,Zipjet is an online laundry and dry cleaning service that enables its users to order laundry and dry cleaning pickup and delivery services.,"Delivery Service, E-Commerce, Internet, Laundry and Dry-cleaning",,https://www.zipjet.de,$1M to $10M,,,,M&A,5,,"Amsterdam Venture Partners, BSH, Henkel Ventures",3,1,"458,465"
Seed Round - Habitalix,https://www.crunchbase.com/funding_round/habitalix-gmbh-seed--3e9bf650,Habitalix,https://www.crunchbase.com/organization/habitalix-gmbh,Seed,"Berlin, Berlin, Germany, Europe",950000,EUR,1122925,2018-05-15,Seed,3400000,EUR,4018889,Yes,Habitalix develops real estate management software.,"Property Management, Real Estate, SaaS, Software",,https://habitalix.de/en/english/,Less than $1M,950000,EUR,1122925,Seed,1,,"Plutos Group, Speedinvest",2,1,"629,040"
Series C - Watchmaster,https://www.crunchbase.com/funding_round/watchmaster-series-c--dd83e816,Watchmaster,https://www.crunchbase.com/organization/watchmaster,Series C,"Berlin, Berlin, Germany, Europe",9000000,EUR,10266296,2018-11-05,Late Stage Venture,,,,Yes,Watchmaster.com is a digital marketplace for buying and selling luxury watches.,"Consumer Goods, E-Commerce, Jewelry, Marketplace",,https://www.watchmaster.com/,$10M to $50M,54635926,USD,54635926,,9,,,,,"631,026"
Seed Round - Vermietet.de,https://www.crunchbase.com/funding_round/vermietet-de-seed--2426ef2c,Vermietet.de,https://www.crunchbase.com/organization/vermietet-de,Seed,"Berlin, Berlin, Germany, Europe",4000000,EUR,4937357,2018-04-19,Seed,,,,Yes,Vermietet.de is the one-stop solution for private landlords and property managers.,"Internet, Real Estate, Rental Property, Social Entrepreneurship",,https://www.vermietet.de/,$1M to $10M,17000000,EUR,19360967,M&A,5,Berlin Technologie Holding,"AXA Group AG, Axel Springer Digital Ventures, Berlin Technologie Holding, Commerzbank, Deutsche Bank, Felix Jahn, Kristofer Fichtner",7,,"631,382"
Pre Seed Round - Pfleglisoft,https://www.crunchbase.com/funding_round/pfleglisoft-pre-seed--8dc94612,Pfleglisoft,https://www.crunchbase.com/organization/pfleglisoft,Pre-Seed,"Berlin, Berlin, Germany, Europe",30000,EUR,35258,2018-09-24,Seed,1000000,EUR,1175255,Yes,Software as a service for live-in care,"Elder Care, Health Care, Home Health Care, SaaS, Software, UX Design",,http://pfleglisoft.com,,80000,EUR,91368,Seed,2,,,,,"631,867"
Seed Round - Mia & Ben,https://www.crunchbase.com/funding_round/mia-ben-seed--380c58f5,Mia & Ben,https://www.crunchbase.com/organization/mia-ben,Seed,"Berlin, Berlin, Germany, Europe",650000,EUR,759168,2018-07-01,Seed,,,,Yes,Mia & Ben is a manufacturer and maker of foods with nutrition for kids.,"Food and Beverage, Health Care",,https://mia-ben.com,$1M to $10M,4750000,EUR,5387459,Early Stage Venture,4,,,,,"632,656"
Seed Round - cargo.one,https://www.crunchbase.com/funding_round/cargo-one-seed--f9c619b1,cargo.one,https://www.crunchbase.com/organization/cargo-one,Seed,"Berlin, Berlin, Germany, Europe",3200000,USD,3200000,2018-12-05,Seed,,,,Yes,"cargo.one is a digital platform designed for freight forwarders to search, compare, and book air freight capacities across airlines.","Freight Service, Information Technology, Logistics, Supply Chain Management",,http://www.cargo.one,$1M to $10M,63800000,USD,63800000,Early Stage Venture,3,"Creandum, Point Nine","Creandum, Lufthansa Cargo, Point Nine",3,4,"633,565"
Pre Seed Round - Statice,https://www.crunchbase.com/funding_round/statice-ai-pre-seed--0e62726e,Statice,https://www.crunchbase.com/organization/statice-ai,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-04-06,Seed,,,,Yes,Statice is a data privacy company that facilitates complex and professional data analysis using privacy-preserving technologies.,"Analytics, Cyber Security, Information Services, Information Technology, Privacy, Software",,https://www.statice.ai/,$1M to $10M,,,,M&A,3,,,,,"633,666"
Funding Round - 1kx,https://www.crunchbase.com/funding_round/1kx-undisclosed--3b506c72,1kx,https://www.crunchbase.com/organization/1kx,Funding Round,"Berlin, Berlin, Germany, Europe",,,,2018-04-23,,,,,Yes,1kx is a crypto investment firm that specializes in ecosystem growth.,"Blockchain, Cryptocurrency, Finance, Information Technology, Venture Capital",,http://1kx.network,,,,,,1,,,,,"633,880"
Pre Seed Round - Powerplace,https://www.crunchbase.com/funding_round/powerplace-pre-seed--e9094b17,Powerplace,https://www.crunchbase.com/organization/powerplace,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-12-08,Seed,,,,Yes,Powerplace liberalizes the algorithm economy. ,"Big Data, Software",,http://www.powerplace.io,$1M to $10M,,,,Seed,1,HATCHER+,HATCHER+,1,,"634,733"
Pre Seed Round - Breakthrough,https://www.crunchbase.com/funding_round/breakthrough-health-pre-seed--8d53361e,Breakthrough,https://www.crunchbase.com/organization/breakthrough-health,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2018-03-01,Seed,,,,Yes,Breakthrough build privacy-focused applications that support people living with chronic disease and connect them to researchers.,"Health Care, Information Technology, Medical",,https://breakthrough.health/,$1M to $10M,,,,M&A,2,Atlantic Labs,Atlantic Labs,1,,"635,509"
Seed Round - INPERA,https://www.crunchbase.com/funding_round/inpera-seed--f6e40393,INPERA,https://www.crunchbase.com/organization/inpera,Seed,"Berlin, Berlin, Germany, Europe",,,,2018-09-18,Seed,,,,Yes,Consulting and platform for digital procurement and data analyses,"Building Material, Construction, Information Technology, Real Estate, Software",,https://www.inpera.net,$1M to $10M,,,,Seed,3,PT1,PT1,1,1,"635,998"
Pre Seed Round - INHUBBER,https://www.crunchbase.com/funding_round/inhubber-pre-seed--967afabf,INHUBBER,https://www.crunchbase.com/organization/inhubber,Pre-Seed,"Berlin, Berlin, Germany, Europe",140000,EUR,172386,2018-04-01,Seed,,,,Yes,INHUBBER is the world's safest SaaS contract lifecycle management platform with a native digital signature.,"Artificial Intelligence (AI), B2B, Blockchain, Information Technology, SaaS, Small and Medium Businesses",,https://inhubber.com/,Less than $1M,1845000,EUR,2161195,Seed,7,,EXIST,1,,"425,847"
Venture Round - WeQ,https://www.crunchbase.com/funding_round/weq-global-series-unknown--2d9aa449,WeQ,https://www.crunchbase.com/organization/weq-global,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",50000000,USD,50000000,2018-04-24,,,,,Yes,WeQ is a data driven mobile marketing company that specializes in digital marketing solutions for mobile apps and games.,"Advertising, Apps, Marketing, Mobile, Mobile Advertising",,https://weq.com,$1M to $10M,55700000,USD,55700000,,2,,,,,"637,510"
